index,sentence,label
20,"“The​ ​US​ ​unemployment​ ​rate,​ ​as​ ​determined​ ​by​ ​the​ ​Bureau​ ​of​ ​Labor​ ​Statistics,​ ​will be lower​ ​than​ ​8​ ​percent​ ​for​ ​the​ ​year​ ​2035,​ ​unless​ ​the​ ​The​ ​National​ ​Bureau​ ​of Economic​ ​Research​ ​determines​ ​that​ ​any​ ​quarter​ ​in​ ​2035​ ​was​ ​in​ ​a​ ​recession,​ ​in which​ ​case​ ​the​ ​reference​ ​year​ ​will​ ​be​ ​the​ ​12​ ​months​ ​prior​ ​to​ ​the​ ​beginning​ ​of​ ​the recession.”",1
21,"On or before December 31, 2029, Berkshire Hathaway A shares (BRK.A), shall trade at no less than one million dollars ($1,000,000) per A equivalent share",1
22,The amount of geologically-derived crude oil consumed by the United States in 2035 will be greater than the amount consumed in 2015.,1
23,"Driverless cars will be commercially available in Las Vegas, NV by May 27 2024.",1
24,Trips may be point to point outside of the city center with no requirement for any passenger to take over manual control of the vehicle.,1
25,"During the 500 years between 02015 and 02515, the Farsight Fund will return much less than what it has historically.",1
26,"Past performance would suggest 3-4% real (after inflation) annual return on investment, but it will be 2% or less.",1
27,"The June, 2025 Labor Force Participation Rate and unemployment rate, reported by the U.S. Bureau of Labor Statistics, will be, respectively above 60 percent and below 7.5 percent.",1
28,"By 2040, the percentage of U.S. citizens of traditional college age who are attending postsecondary educational institutions in the United States will drop at least 50% from the level reported for the 2011/2012 academic year.",1
29,The original URL for this prediction (www.longbets.org/601) will no longer be available in eleven years.,1
30,"The first true interstellar mission, targeted at the closest star to the Sun or even farther, will be launched before or on December 6, 2025 and will be widely supported by the public.",1
31,Large Hadron Collider will destroy Earth.,1
32,"By the end of the year 2020, a professional sports team that is part of either the National Football League, the National Basketball Association, Major League Baseball, the National Hockey League, or Major League Soccer will integrate and have a woman as a team member/player.",1
33,"By 2018 the Euro (€) will not be the legal currency of France, Italy and Germany.",1
34,"Over a ten-year period commencing on January 1, 2008, and ending on December 31, 2017, the S&P 500 will outperform a portfolio of funds of hedge funds, when performance is measured on a basis net of fees, costs and expenses.",1
35,"In 2108, an independent, sentient artificial intelligence will exist as a corporation, both providing its services as well as making all financial and strategic decisions.",1
36,Neither major U. S. political party will hold conventions or indeed primaries to select their 2012 Presidential nominees.,1
37,The U.S Department of Transportation Bureau of Transportation Statistics (www.bts.gov) will report a lower number of total highway vehicle miles traveled in 2010 than in 2005.,1
38,"By 2025, the states will have voted on at least one constitutional amendment to cede US federal power to a global government.",1
40,"Over the next ten years, we will make measurable global progress in all five areas of the human condition: food, access to clean water, health, education, and the price of energy.",1
41,By 2025 the scientific evidence of a hither-to-unknown large bi-pedal great ape will be sufficient to convince at least 50% of primatologists that a yeti/bigfoot-like creature exists.,1
42,By 02060 the total population of humans on earth will be less than it is today.,1
43,The annual average cost between 2003 and Dec 31 2005 of the total retail price (commercial and residential) per Kilowatthour of electricity in the United States will rise as calculated by the U.S. Departmentof Energy in chained (inflation-adjusted) U.S. dollars.,1
44,Evidence of extraterrestrial intelligence within the solar system will be confirmed before evidence from several light-years away.,1
45,The first discovery of extraterrestrial life will be someplace other than on a planet or on a satellite of a planet.,1
46,In 2022 the US economy will no longer be held to be the world leader in global environmental degradation.,1
47,"By 2020, no one will have won a Nobel Prize for work on superstring theory, membrane theory, or some other unified theory describing all the forces of nature.",1
48,At least one human alive in the year 2000 will still be alive in 2150.,1
49,A bioterror or bioerror will lead to one million casualties in a single event within a six month period starting no later than Dec 31 02020.,1
50,The US men's soccer team will win the World Cup before the Red Sox win the World Series.,1
51,The universe will eventually stop expanding.,1
52,"By 2012, the Wall Street Journal and the New York Times will have referred to Russia as ""the world leader in software development"" or words to that effect.",1
53,"By 2030, commercial passengers will routinely fly in pilotless planes.",1
54,"A profitable video-on-demand service aimed at consumers will offer 10,000 titles to 5 million subscribers by 2010.",1
55,"In a Google search of five keywords or phrases representing the top five news stories of 2007, weblogs will rank higher than the New York Times' Web site.",1
56,"By 2029 no computer - or ""machine intelligence"" - will have passed the Turing Test.",1
57,"World peace by October 30, 2150",1
58,The market share of new electric light duty vehicles (per the US EIA definition) sold in the US will exceed 17% (>17% EV + PHEV market share) by the end of 2030.,1
59,"By 2043 there will be archaeological discoveries demonstrating equal or greater architectural advancement to the monuments at Göbekli Tepe, dating from before 11,000 BC.",1
60,It will come to light that the United States Federal Government has control of a significant portion of Bitcoin.,1
61,They will leverage this Bitcoin holding to erase their National debt.,1
62,"Before Jan 1 2028, a text on the NY Times Bestsellers list will be generated through AI / machine learning process.",1
63,Authorship may be through a pen-name with non-human authorship revealed after listing is achieved.,1
64,by 2035 there will be at least one public protest of more than 100 people in a G7 county against the switching off of a machine or software program on the grounds that it is sentient and has a right to live.,1
65,S&P 500 Total return will beat BRKB,1
66,Within 20 years electric scooter racing will surpass motorcycle racing in terms of popularity,1
67,Poland will synchronize its first nuclear power plant BEFORE Germany exits coal power.,1
68,Humanity will encounter super intelligent fully cybernetic extraterrestrial species before encountering super intelligent biological species.,1
69,Sam Bankman-Fried will be charged with a crime for his actions at FTX/Alameda.,1
70,I predict that a space satellite launch company will have the highest market cap out of any publicly traded company by 2040,1
71,The NEOM THE LINE building will not be completed as currently envisaged.,1
72,Fewer than one million people will live in a single building at the foreseen location in 2035.,1
73,"The SETI Institute will not announce the detection of a signal from an extraterrestrial civilization (that is, a signal that is unambiguously non-natural and does not originate from Earth) within the next 20 years.",1
74,"From August 25, 2022 to the last trading day of August 2032, Alphabet stock will outperform Fundsmith hedge fund.",1
75,"The US Bureau of Labor Statistics will report more than 4,951,360 jobs in the transport and warehousing sector for July 2030.",1
76,"In Australia, rooftop solar and distributed storage will power our cities during heat waves, no longer reliant on the grid during these periods",1
77,"In Australia, we’ll have way more distributed energy and different consumption patterns; the whole energy and electricity system will be very different and much closer to people.",1
78,"Australia will be shipping FutureFeed and it’ll be the world’s most popular way of reducing agricultural emissions, becoming a major export industry for Australia and contribute to world’s climate emissions.",1
79,By the early 2030s we’ll have an overlaid grid system combing AC and DC to boost interoperability and reliability.,1
80,Alan Finkel at the Sydney Energy Forum July 2022 predicted: by 2032 90% of new passenger car sales in the OECD will be electric with an average range of 1000 km or more and there will be at least 40 million tonnes per annum of demand for clean hydrogen.,1
81,I predict that Canada will be a failed state by 02042.,1
82,"In 5 years, a bitcoin will be worth less than $100US.",1
83,Fewer that 25% of states with Roe v. Wade anti-abortion trigger bans will implement any meaningful improvements for child-related care or support within 3 years.,1
84,Within the next 25 years the United States of America will no longer consist of 50 States,1
85,"In 2030, the share of world energy produced by solar will be < 2%, conditional on real gross world product (in 2015 USD at market exchange rates) being not less than $118 trillion.",1
86,"End date as soon as reputable data (World Bank, IEA, BP etc) for 2030 are available.",1
87,"By 2080, a mathematician would win the Fields Medal before the age of 22, thus becoming the first undergraduate winner of the Fields Medal.",1
88,"The manufacturing of new internal combustion engine automobiles will be illegal, or there will be a law requiring that their manufacture cease by some specified date in the future everywhere in the US.",1
89,Lysergic acid diethylamide (LSD) will no longer be a U.S. Federal schedule 1 drug and in 15 states it will be legal for medicinal and/or recreational use.,1
90,"Humans will not find features of an exoplanet or other object >1 light-year away which, according to a majority of astrobiologists, is convincing evidence of life, intelligence, or technology; nor will we detect any other electromagnetic signal satisfying the same requirement.",1
91,"The Department of Defense will not publicly release unambiguous evidence, recorded from multiple sensors, of objects in Earth's atmosphere exhibiting >20G acceleration, OR >100km/h subsurface travel, OR anti-gravity, OR FTL/nonlocal translation, OR extraterrestrial intelligence.",1
92,The International Criminal Court will become totally independent of the Security Council and may even gain the ability to override the vetoes of the latter.,1
93,By 2030 Major League Baseball will use computers/technology to call balls and strikes rather than human umpires.,1
94,Canada's terrifying state-sponsored euthanasia program as described in The Spectator by Yuan Yi Zhu in the article below will have spread to become policy in at least 4 of the G20 by the end of 2035 as an inevitable consequence of markets viewing people as a resource.,1
95,"By 2032, decentralized autonomous organizations (DAOs) and other digitally-constituted organizations will organize more assets and production than traditional, legally-constituted corporations in the United States.",1
96,"I predict that, no later than 11:59 PM Mountain Time, 31 December, 2050, the festival known as the Calgary Stampede will have ceased to exist.",1
97,Global climate change will cause the mass displacement or death of over 1 billion people by the beginning of year 02200.,1
98,Oil will not be the resource war of the middle 21st century.,1
100,I predict by the end of the 2020’s and into the 2030’s war will be fought over the rarest and most sacred resource to life: Water.,1
101,"By the end of 2036, humans sent by SpaceX will have landed and walked on the surface of Mars.",1
102,"Within 10 years from now, free markets for the stablecoin TerraUSD (UST) will no longer exist, or more than 10 billion UST will have been traded below 0.90 USD, or UST will be backed by USD.",1
103,"By the year 2030, there will be successful re-produced or remastered versions of 1990s 'classic' movies which replace main characters with Meme Characters or amusing replacements of the original starring characters such as such as cats, other animals or non-human entities.",1
104,A manned mission to Mars will be underway or will have actually arrived there by the time Long Bets posts Prediction 1000.,1
105,"In five years' time, by December 31, 02026, autonomous vehicles will be banned from public roadways.",1
106,They will be legal to operate on completely automated roadways on which no non-autonomous vehicles will be allowed.,1
107,"In five years' time, by December 31, 2026, essential enterprise software, specifically MS Office for business and Avid Pro Tools for film, will be metered in seconds, rather than distributed in a sales or monthly subscription model.",1
108,By 2045 the average mean temperature of the northern and southern hemispheres will be 45C near the equator the amt will be 54C.,1
109,Perminant ice up to 2 feet deep will cover the plains of the USA and the Steppe and East land forms of Russia and southern Africa and South America.,1
110,In Winter 2030 Germany will have overcome the COVID pandemic.,1
111,Excess mortality will be below pre-pandemic levels.,1
112,Life expectancy for the elderly will be higher and entry restrictions for bars and restaurants will cease.,1
113,"Over a ten-year period commencing on January 1, 2022, and ending on December 31, 2031, the S&P 500 will outperform Bitcoin.",1
114,The emissions intensity of Australia's National Electricity Market will fall below 60 kgCO₂e/MWh before 30 June 2041 without the help of nuclear energy.,1
115,There will be no coal plants operating in Australia by 31 December 2030,1
116,"By 2040, a SpaceX manufactured satellite will be involved in a collision with another object in space.",1
117,"Ten years from now, on September 15th, 2031, one bitcoin will be worth more than 0.05 troy ounces of gold.",1
118,"Humanity will reach the escape of velocity of life extension within 2 years meaning that every year that we get to live longer, science will advance enough to extend human life span by the same number of years.",1
120,"By 2046, a 100MW fusion plant will be in operation and selling electricity to the grid.",1
121,The solar system will not be converted to a giant Matrioshka brain in the next 989 years.,1
122,"By 2025 there will be more than 100,000 high-functioning AI digital people at work in the United States.",1
123,"Donald Trump will not be reinstated as president of the United States by January 1, 02024.",1
124,"Within 15 years, in some country with a population at least as large as the Netherlands, at least 10% of new homes under construction will be built by 3-D printing, probably of concrete.",1
125,"By 2031, the Chinese Communist Party (CCP) will establish a long term military presence, with elements of the People’s Liberation Arm (PLA), on a nation in the Western Hemisphere, specifically between longitude 30W and 135W.",1
126,"By 2050 we will have made several breakthroughs in biotechnology that will allow us to slow down aging, rejuvenate the body and hence extend healthy human lifespan to at least 120 years.",1
127,This technology will be affordable enough so that it is available for the general public.,1
128,"A top Shakespearean editor or scholar will agree that Sir Thomas North is a reasonable candidate for authorship of at least one of Shakespeare’s source plays (including ""Arden of Faversham."")",1
129,"By 2030, more than 10 million people will be using social networks wherein the content is store on servers or other storage that the user owns, with the network merely aggregating the content and providing a feed.",1
130,"By January first, 2024, the price of Bitcoin, as quoted in the Wall Street Journal, will be below 2500 USD.",1
131,There will be no serious long-term adverse effects from mass mRNA vaccination against COVID-19.,1
132,"By 1 March 2023, a territorial coup will be attempted by Boko Haram quasi-agents in the South of Nigeria, such that land rights of Southern Nigerians will be overwhelmed and the Fulani people will look to settle in the area.",1
133,Quantum computing & quantum networks will allow us to communicate with alternate timelines/dimensions,1
134,"By the year 2050, the net contribution of controlled fusion power to the U.S. electrical grid will still be zero, or less.",1
135,"At the end of 2030, there will be more mRNA-based mAbs in clinical trials than those of protein-based mAbs.",1
136,De Broglie-Bohm pilot-wave theory will overtake the Copenhagen Interpretation of quantum mechanics as the theory most accepted by physicists.,1
137,"By 2050, the United States will have passed an amendment abolishing patents and copyrights, OR there will be a patented medical product that will be considered responsible for 5 million American deaths.",1
138,"The last coal-powered station based on current technology, will close in Australia no later than 2035",1
139,"By the end of 02035, there will be at least one human living on Earth who has walked on Mars.",1
140,"By 2030, There will be one person who is able to think a search function and return a result as if they Google’d something, with no physical hookup and no audible speech (fully cerebral thought) and less than 100ms latency.",1
142,"The United States National Flood Insurance Program (NFIP) will fail.The failure of the program will create a financial crisis as trillions of dollars in coastal real estate will become suddenly too expensive to insure, resulting in a crash of major markets like Miami and Houston",1
143,Bitcoin will not become the world's single currency by 2030.,1
144,"By 2030, half of the UK adult population will be vegan.",1
145,Small Modular Reactors will produce less than 1% of global electricity in 2040.,1
146,American Social Security will remain intact through 2050.,1
147,"By the end of 2035, more electricity will be generated globally from wind and solar power combined than from coal.",1
148,Battery electric cars will outsell hydrogen fuel-cell cars by at least a factor of 10 globally every year from 2020 to 2040.,1
149,"Over the two decades to 2040, the total quantity of CO₂ captured and sequestered from every coal power station on the planet will be less than that emitted from Australia's Eraring power station.",1
150,Fossil gas power generation will contribute less than 10% of power generated in Australia’s National Electricity Market on average through the 2020s.,1
151,No coal-fired power stations will be built in Australia's main grids between 2010 and 2030.,1
152,Nuclear power will provide 0% (rounded to the nearest whole number) of the power in Australia’s National Electricity Market in every year to 2040.,1
153,At least 50% of new car sales in Australia will be electric (EVs) in 2030 or earlier.,1
154,The first female president of the United States assumes the office by succeession due to circumstances directly caused by a global pandemic.,1
155,"By 2030, China would expand to become a larger superstate.",1
156,By 2030 us dollor will loose it's value as globally accepted currency and the most powerfull currency in the world.,1
157,"By the end of 2025, multiple major media outlets will have argued that the worldwide response to COVID-19 was ""the most expensive overreaction in human history"" or words to that effect.",1
158,"If the next president of the USA will be a democrat and/or a female, the US's anual GPD growth, major Wall Street share indices (Dow Jones, NASDAQ comp.)",1
159,"by the end of the term in 2024 will be higher, unemployment rate lower and number of system crisis lower than now.",1
160,The total Australian infected population from the COVID-19 virus will be less than 1% of the population.,1
161,At least 8 out of the 10 years following 2020 will have a global mean teamperature that is going to be higher than the global mean temperature between Jan 1st 2000 and Dec 31th 2009 (+0.59°C relative to 1951-1980 average temperatures,1
162,"By the end of 2030, Global Mean Sea Level (GMSL) as measured by the Integrated Multi-Mission Ocean Altimeter Data will rise to 120 mm above January 1, 1993 (2 month average)",1
163,"The COVID 2019 Coronavirus (also known as the Wuhan coronavirus) will have resulted in fewer than 10,000,000 fatalities by 2022-02-02",1
164,The startup biopharma company EQRx will not have developed and brought to market its projected ten drugs during its first ten years.,1
165,This widely quoted statement is simply not realistic.,1
166,"By 2050 the cheapest type of fuel will be synthetic fuel from biomass, produced with nuclear-generated (fission or fusion) electricity.",1
167,"By 2035, 7500 extremely preterm human infants born in the US at 23 to 25 weeks gestation will have survived after being maintained beginning at birth in a fluid filled extrauterine device (artificial womb).",1
168,Global infant mortality defined as deaths within the first year after birth per 1000 liveborn infants will be 10 per thousand or less before 2035.,1
169,"By 2025, there will at least be one prescription ready, effective probiotic medication to treat depression, caused by disturbances in the equilibrium of the gut microbiome.",1
170,"By the end of 2030, one or more agency responsible for regulating securities and exchanges in a major global investment market will rule that the holding by professional asset managers of securities issued by fossil fuels companies constitutes negligence.",1
171,"In less than 24 months 1 man will make more cash value net worth, than any other persons individual entire networth combined.",1
172,Measurement While Drilling Telemetry Transmission Rates will meet or exceed 10 bits per second reliably across more than 50% of the industry.,1
173,Mud Pulse will meet or exceed 10 bits per second.,1
174,Electromagnetic will meet or exceed 20 bits per second.,1
175,"Over the five years leading up to 2029, the US will use less paper in total than it did over the five years leading up to 2019.",1
176,"Over the five years leading up to 2029, the US will use less timber in total than it did over the five years leading up to 2019.",1
177,"Over the five years leading up to 2029, the US will use less tungsten than it did over the five years leading up to 2019, and the material will be more affordable to the world’s average person over the later period than the earlier one.",1
178,"Over the five years leading up to 2029, the US will use less tin than it did over the five years leading up to 2019, and the material will be more affordable to the world’s average person over the later period than the earlier one.",1
179,"Over the five years leading up to 2029, the US will use less chromium than it did over the five years leading up to 2019, and the material will be more affordable to the world’s average person over the later period than the earlier one.",1
180,"Over the five years leading up to 2029, the US will use less tonnage of rare earth elements than it did over the five years leading up to 2019, and these materials will be more affordable to the world’s average person over the later period than the earlier one.",1
181,"Over the five years leading up to 2029, the US will use less gold than it did over the five years leading up to 2019, and the material will be more affordable to the world’s average person over the later period than the earlier one.",1
182,"Over the five years leading up to 2029, the US will use less copper than it did over the five years leading up to 2019, and the material will be more affordable to the world’s average person over the later period than the earlier one.",1
183,"Over the five years leading up to 2029, the US will use less nickel than it did over the five years leading up to 2019, and the material will be more affordable to the world’s average person over the later period than the earlier one.",1
184,"Over the five years leading up to 2029, the US will use less aluminum than it did over the five years leading up to 2019, and the material will be more affordable to the world’s average person over the later period than the earlier one.",1
185,"Over the five years leading up to 2029, the US will use less iron and steel than it did over the five years leading up to 2019, and the material will be more affordable to the world’s average person over the later period than the earlier one.",1
186,"In 2029 US crop tonnage will be greater than it was in 2019 and less total cropland, fertilizer, and water for irrigation will be used for agriculture in the country in 2029 than in 2019.",1
187,"In 2029, the US will produce less total CO2 emissions than it did in 2019, even after taking offshoring into account.",1
188,"In 2029, the US will consume less total energy than it did in 2019.",1
189,"In 2027, at least 7 out of the top 10 TIOBE languages will be Tree Languages AND/OR 0 out of the top 10 languages on 2017's list will be in the Top 10 in 2027.",1
190,"I predict that by 2032, We will see Main Land China adopt a capitalistic Real Estate Market.",1
191,E-Verify will not be implemented nationwide for all employers in the United States.,1
192,"By the end of 2021, the price of bitcoin will be higher than it is today.",1
193,The IPCC will be displaced and become irrelevant in the discussions around global climate catastrophism within a generation.,1
194,That the total return (price appreciation + dividends paid) of Berkshire Hathaway B shares (BRK.B) will greater than that of the S&P 500 over the next 10 years (7/18/2019 market close to 7/18/2029 market close.),1
195,"Starting prices are $2,995.11 for the S&P and 207.98 for BRK.B.",1
197,"If Donald Trump wins the 2020 Presidential Election, Ted Cruz will become the next President of the United States of America in 2024.",1
198,"By Dec 31, 2021 the total volume of payments denominated in Facebook Libra (or any replacement introduced by Facebook) will NOT exceed $1.8 Trillion in a three month period.",1
199,By 2044 it will be illegal to drive in the United States.,1
200,"By 02050, an algorithm will receive a major multi-book publishing deal.",1
201,The US trade deficit with China will be greater at the end of Trump’s administration than it was when he took office.,1
202,"I predict that for the rest of the 2019 Calendar year the US Stock Market will experience another bull rally, in-turn, turning bearish/recession before April 17th, 2021.",1
203,"Basketball, as determined by # of viewers + $ of revenue, will be the biggest sport in the USA in 20 years.",1
204,"There will be about one under-M5 earthquake per day in the gas field of Groningen, The Netherlands.",1
205,"In the next twenty years, humanity will NOT be able to create life completely artificially.",1
206,I predict that #TSLA share price will trade above USD 420 on every day of March 2029 (a 42% increase over today`s share price of USD 295).,1
207,At least 1000 people in one calendar year will depart Earth for Mars by the end of 2035.,1
208,Disney will make more than 10 Marvel universe movies outside those already announced by 2030.,1
209,"The movies announced but not yet released are Captain Marvel, Avengers: Endgame, and Spider-man: Far From Home - these three movies will not count against the 10.",1
210,Sparsity will be the dominant aspect of deployed deep learning models.,1
211,"In the course of the next 21 years (2019-2040), the value of technological ""ecosystems"" that bind people in to certain company's services and products, will be reduced.",1
212,"For the 2023 calendar year, the total per capita healthcare costs of Amazon, Berkshire Hathaway, JP Morgan Chase (ABC) US-based employees and dependents will be at least 20% higher than in 2018.",1
213,"By 2035 there will be an AI System that, without prior knowledge of the movie or related material,  is capable of explaining the meaning of the movie ""2001 A Space Odyssey"" in a deep and meaningful way including a cogent explanation of how it pertains to the AI System itself.",1
214,"A Hyperloop comercial (non-testing) system will be fully working somewhere in the world by the end of 2026, moving real passengers or real cargo.",1
215,"A Godfather of one of the Duke & Duchess of Sussex, Prince Harry & Meghan's children will be Barack Obama",1
216,"After Warren Buffett ""retires,"" the next five-year capital gain on Berkshire-Hathaway stock will exceed the five-year capital gain before his ""retirement.""",1
217,"At least one or more of the current tech-giant companies has a ""Scorched Earth"" doctrine that would be executed in the event of the emergence of a cyber-deity.",1
218,"NASA will forego human-crewed, outer space operations after 2025.",1
219,"The % of the world population that owns cryptographic tokens will exceed the % of the world that owns public market stocks by April 23, 2023",1
220,That less than 50% of the car parc in Australia will be level 4 autonomous or higher by 2040.,1
221,"By 2027, humanity will have learned how to create new colors,feelings,qualias.",1
222,"In 10 year period from 4/1/2018 to 3/31/2028, a group of stocks selected by Math Oriented Value Investing will outperform any hedge fund, index fund, or any stock investment organization, without need of net of fees and costs of the organization.",1
223,The broadcasting function of chatbot will end up in failure due to its disrupting nature.,1
224,There will be a short downfall for the chatbot to become a mainstream technology.,1
225,"After enterprises learn the mistakes, the real age of intelligent chatbot will come.",1
226,"The Echiquier Agressor fund, an actively managed European equities fund, will outperform the MSCI Europe Index over the next 10 years, net of all fees and expenses.",1
227,75% drop in the assets of pure Fundamental Long-Short Equity Hedge Funds by September 2019.,1
228,"These assets will  transition to quantimental investing, smart beta products, statistical arbitrage funds, long only concentrated funds, event driven funds, etc",1
229,Emulating Achilles: a White Man Will Start World War By 02051   -OR- The Great White Man Theory of History,1
230,"The Frank Value Fund, an actively managed US mutual fund, will outperform the S&P 500 Index over the next ten years net of all fees and expenses.",1
231,The rate of fatalities for seafarers will be ten times that for shore based occupations in 02021.,1
232,"Within 1 million years, humanity or its descendants will have colonised the galaxy.",1
233,"The CFR (Delivered) China price of Iron Ore (62% Fe) as published by Metal Bulletin and/or Platts, will surpass $200 USD per Tonne.",1
234,"By December 31 02029 one of the world's top ten car manufacturers in 02015 (Volkswagen, Toyota, Daimler, GM, Ford, Fiat Chrysler, Honda, Nissan, BMW, SAIC) will stop manufacturing cars powered by internal combustion engines.",1
235,By 2065 a computer-based system will pass the “reality imitation game.”,1
236,Turkish president Recep Tayyip Erdogan will be found guilty at a court of law or will flee from the country by 2020.,1
237,"“Due to a favorable political & social conditions, India's economy will grow over the next 10 years, specifically measured through growth of Fairfax India (FIH.U), an investment holding company.",1
238,"The company's closing price on May 5, 02015 was USD$ 11.50.",1
239,"I predict Fairfax India will earn, on average, an annual compound rate of return of at least 15% (including capital gains and dividends) over the next 10 years (May 6, 2015 to May 5, 2025).""",1
240,"Within 50 years a legally binding ""right to life"" (a right not to be terminated or shut down with violation punishable as a capital offense) will be granted to software by some nation on Earth, effectively giving constitutional ""human rights"" to a software system.",1
241,The United States will NOT adopt a single-payer health care system before the end of 02035,1
242,"In the time from now until Dec. 31st 2020, Apple Inc. will not start to manufacture or sell cars (self driving or not) nor will they supply components - hardware or software - to car manufacturers.",1
243,Apple will release an electric car within the next decade.,1
244,England and the United States will be unified as one kingdom.,1
245,"By September 27th 2071 long extinct trilobites (or direct descendents of) will be found in the deep waters of the seas possibly, but not exclusively, around underwater hydrothermal vents.",1
246,"By 2025, oil and gas companies will find that their carbon is much more valuable as a manufacturing source material than as a waste product.",1
247,"Within 25 years the CDC will reverse their recommendation for human usage of at least one of the ten best selling vaccines of the present (Prevnar 13, PENTAct-HIB, Gardasil, GSK's HepA/B, Celtura, Varivax, RotaTeq, Synflorix, Zostavax, Menactra) due to adverse side effects.",1
248,By the end of 2017 a major protest will feature a drone versus drone aerial confrontation.,1
249,"In 2100, nation states will dissolve into metrop-community built around common interests and vocations of the integrants of the communities (the people).",1
250,These communities will develop their own organizing structures and rules.,1
251,it’s estimated to be around $2 trillion today.,1
252,"By 2020, Urban and vertical farms will replace 10% of city produce in Chicago.",1
253,"By 2015 Tesla Motors will sell a <$30,000 electric car.",1
254,Iranian women will become the dominant force in Iranian politics by 2020 and kick out the concept of a Supreme Leader.,1
255,"By 2030, the apostrophe will have functionally disappeared from American English.",1
256,"By 2030, 30% of libraries existing today will not have walls (buildings).",1
257,“Neither the Google car nor any other fully autonomous car will be marketed to the general public by 2025”,1
258,"By 2020, across at least 25% of the continental US, the cost of new solar or wind will be lower than the cost of either new coal or new natural gas.",1
259,“The first ice-free Arctic day (as defined by NSIDC) will occur by the end of 2020.”,1
260,"The average annual Palmer Drought Severity Index (PDSI) computed from US National Oceanic and Atmospheric Administration (NOAA) data for Nevada during 1981-2030 will be the same or higher (that is, conditions will not be drier) than during the previous 50 years (1931-1980).",1
261,Kickstarter will still be its own independent company by January 1st 2018.,1
262,"By 2042, residential photovoltaic (PV) electricity systems will cost less than $0.90/watt, installed and commissioned, supplying AC electricity for $0.02/kwh to $0.05/kwh, depending on geographic location.",1
263,The phenomenon of larger than expected black holes ala NGC 1277 will be identified as a marker of advanced alien societies progressing according to John Smart's transcension hypothesis.,1
264,"By the end of Obama's second term as President, The Central Bank of China will publicly announce that they have an amount of gold in reserve that is greater than Germany's.",1
265,"By the year 2037, all driving on highways and city streets will be completely automated, the only place to freely drive will be specially designated tracks.",1
266,"A data-driven, objective model can identify startups likely to succeed and startups likely to fail.",1
267,"By 02032, in response to studies correlating interactive media consumption with impairment of cognitive development, the United States Congress will have passed legislation restricting access by minors to digital interfaces.",1
268,I predict that Google will introduce a Google currency that will be an alternative to all currencies and that this will become the leading currency in the world by 2017,1
269,"By 02022, Aether Physics (or its equivalent) will take the place of General Relativity and Quantum Theory.",1
270,The United States will not experience hyperinflation (defined by 3 consecutive months of 6% Month over Month inflation according to the Billion Prices Project measurement of MoM inflation) from April 17th 2012 to April 17th 2017.,1
271,"I predict that by 2030, China will lay an ownership claim to the entire moon.",1
272,"In ten years, people will be watching more live video than pre-recorded.",1
273,By 2032 you will be able to purchase a mass produced car that can drive itself to a designated destination.,1
274,"By the end of 2013, the censorship and domestic monitoring system, known as the Great Firewall System, will become ineffective at stopping Chinese Internet users from accessing global information.",1
275,"By November 30th 02013, Andrea Rossi's E-Cat technology will be widely accepted to produce a COP of 6 or above",1
